# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-66.5169 27.8844 -13.0994 -2.33053 -16.4333 4.6862
-104.554 54.2802 -27.8472 9.56045 -16.3663 4.4945
-95.6748 75.5514 -29.0572 22.1 -19.6376 4.38792
-109.936 67.6962 -38.5262 24.8833 -17.4481 4.4345
-93.7595 73.358 -28.7123 16.365 -17.6701 4.32956
-44.655 47.5192 11.9258 6.63607 -8.5738 4.59399
-65.8355 52.7731 -4.53348 4.02734 -16.4212 4.54045
-84.75 44.4047 -19.451 1.87437 -16.4033 4.63487
-49.6531 46.3263 8.99189 -3.79507 -12.7918 4.48269
-44.5957 49.9123 15.6854 4.56427 -8.59073 4.59586
-97.1304 63.0085 -29.1602 19.6274 -14.192 4.61844
-57.0664 66.0938 5.35201 16.9806 -11.2092 4.37617
-61.4634 56.9457 0.392726 7.79645 -8.70281 4.5113
-113.914 49.9439 -41.2693 7.0677 -16.8647 4.59391
-137.94 58.7225 -55.1557 23.317 -21.0567 4.37533
-88.2292 14.9526 -34.5397 -0.847725 -20.8449 4.83328
-87.436 -9.98972 -28.9651 -7.18616 -17.7794 4.76507
-72.3073 -15.9398 -29.042 -6.65531 -17.7856 4.8309
-72.2476 -33.365 -32.7257 -16.3007 -14.5476 4.81706
-82.3003 -15.0044 -37.6201 -2.2181 -21.69 4.86119
-67.5993 -21.1251 -39.1119 -10.922 -17.2848 4.79987
-78.3575 -20.3654 -27.2974 -4.97578 -15.3996 4.83832
-68.7366 -28.8983 -31.4932 -14.376 -14.7884 4.87082
-81.9049 -7.93191 -29.3511 -9.1478 -15.4733 4.95108
-94.8157 -18.6754 -27.4269 -7.98676 -23.4041 4.79952
-80.4996 -22.5881 -35.5832 -8.65753 -18.715 4.89419
-77.6187 -26.6911 -33.4826 -12.2096 -19.2197 4.84467
-83.1408 -25.7803 -35.1471 -15.7856 -18.9608 4.89174
-79.0023 -12.1592 -28.9094 -7.78937 -18.8227 4.8
-70.1138 -22.5379 -29.2271 -13.4963 -17.6302 4.83876
-83.0451 -36.5364 -31.7927 -12.1425 -17.2148 4.75753
-75.5664 -14.3354 -22.8426 -13.6519 -16.1836 4.82076
-82.3276 -24.513 -31.7042 -12.5474 -18.7879 4.82572
-65.0529 -30.3953 -38.4061 -18.1854 -21.8068 4.73413
-81.5183 -10.9964 -23.8457 0.184746 -12.7959 4.87101
-63.8228 -29.1397 -40.2508 -18.6469 -18.4071 4.84192
-87.0401 -18.648 -27.306 -5.761 -16.476 4.82964
-78.6675 16.6109 -16.9746 1.86826 -13.9948 4.86125
-82.2825 -35.8652 -23.5687 -15.4795 -17.8249 4.79801
-79.0135 -30.7908 -28.2317 -15.6767 -17.049 4.83403
-87.6531 -0.551642 -19.7745 -4.4132 -18.0673 4.87812
-77.193 -13.7371 -26.4929 -12.7231 -20.655 4.82309
-92.4443 -0.78455 -19.4781 8.35123 -15.1216 4.87877
-78.8405 -19.2766 -27.7699 -6.12863 -16.295 4.88004
-77.7807 -24.7671 -33.8149 -10.6844 -20.1138 4.82644
-77.0217 -23.5485 -27.7042 -5.83057 -18.2547 4.77418
-82.551 -15.1002 -23.6546 1.05872 -17.6303 4.70147
-82.6101 -2.45469 -19.7827 0.275458 -17.4771 4.79253
-81.9976 -12.3199 -25.1442 -8.40067 -17.7433 4.79948
-89.1077 3.72058 -27.0992 1.4461 -15.9143 4.87124
