# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-72.0507 -14.5268 -33.9408 -10.472 -17.0165 4.82546
-86.9571 -5.13263 -26.4558 -5.19687 -17.1843 4.73668
-66.0433 -26.4156 -30.5508 -17.2127 -18.1688 4.81679
-78.3277 -13.2059 -26.2978 -3.2905 -16.4725 4.75328
-92.8454 -12.2515 -22.4328 -5.49282 -18.1506 4.83102
-53.2013 -24.9314 -43.3882 -20.8403 -19.3574 4.81164
-59.3457 -4.2808 -24.8193 -10.031 -15.1332 4.92102
-77.0497 -10.3525 -30.662 -8.61932 -18.2091 4.8151
-75.633 -17.9308 -27.6763 -14.7142 -19.0769 4.79442
-86.9088 -1.52968 -24.1334 -4.98526 -17.2263 4.78055
-73.3369 -12.8456 -28.6322 -9.37459 -15.689 4.89235
-79.384 5.86535 -16.513 6.52565 -14.787 4.83168
-88.2302 -14.6432 -25.8486 -3.47502 -19.301 4.833
-84.3775 -19.148 -29.6284 -12.2194 -17.3581 4.80322
-87.498 -8.39684 -24.7657 -1.91776 -17.279 4.79831
-92.1924 -17.9636 -23.2455 -10.812 -17.4886 4.81178
-88.1958 -13.2704 -30.3128 -3.20114 -21.0649 4.81974
-83.5223 -10.0109 -26.0108 -8.80901 -16.1458 4.89266
-80.7666 -10.1286 -24.1405 -7.99831 -17.7619 4.83438
-73.0704 -20.9462 -28.4868 -10.0856 -18.7995 4.77143
-87.1962 -6.01276 -28.9636 -3.80595 -18.5523 4.89657
-68.8273 -21.4316 -36.9222 -12.0987 -16.7115 4.90018
-72.1961 -13.6451 -31.267 -13.8314 -19.6819 4.83856
-67.5326 -27.3347 -33.481 -18.3415 -19.5313 4.80547
-87.036 -16.2054 -21.272 -4.40541 -16.8102 4.88336
-87.6207 -26.0924 -19.2187 -9.57184 -18.5801 4.88147
-73.836 -29.4554 -24.8916 -16.0968 -18.4248 4.77578
-70.1045 -30.9063 -33.4334 -14.0556 -19.0026 4.76771
-86.7925 -8.4579 -21.9249 -3.089 -16.849 4.85753
-73.0893 -25.549 -29.9585 -10.0941 -18.6716 4.8529
-74.4966 -32.2737 -34.3716 -14.5881 -18.8809 4.79091
-77.0903 -14.9523 -26.0714 -8.34715 -14.0314 4.86368
-58.1295 -18.6627 -33.5232 -8.28338 -16.7075 4.77732
-94.818 -2.43461 -24.2401 -5.09787 -19.2666 4.87243
-61.7663 -28.2889 -38.4431 -20.4737 -19.6844 4.86296
-72.6865 -8.35349 -33.1699 -3.96551 -17.9372 4.80521
-78.1768 -5.78011 -29.2978 -4.95623 -17.1258 4.80537
-71.1225 -13.3235 -26.8095 -6.06118 -17.0945 4.793
-78.0392 -17.1758 -27.4175 -9.42674 -18.9741 4.79042
-76.5863 -23.9023 -31.9051 -14.2873 -18.2615 4.85034
-85.6199 -8.75704 -20.4815 -5.59768 -16.1114 4.69594
-69.0989 -14.8554 -24.0604 -19.6536 -17.3081 4.77881
-85.7553 13.38 -19.8414 12.8581 -15.8482 4.59159
-75.5957 -20.816 -30.1707 -13.6051 -17.4326 4.83286
-78.4652 -13.5128 -26.7657 -11.6687 -18.9309 4.75362
-93.1354 1.16157 -20.4767 -0.13711 -15.8052 4.75485
-95.9789 4.21194 -26.212 -1.70205 -18.2553 4.87619
-79.0843 -17.1179 -35.7412 -11.7494 -14.0871 4.89936
-82.3544 -19.0171 -22.7036 -11.1312 -17.2695 4.88387
-104.882 11.5658 -22.9845 11.9363 -18.5 4.68192
-69.629 -30.2817 -33.919 -18.6214 -17.6428 4.87056
-70.5229 -19.4323 -27.9579 -8.24904 -18.6835 4.73498
-85.6054 -11.115 -23.9432 -6.40099 -18.6869 4.82395
-65.3241 -34.7206 -29.3772 -16.3572 -13.6054 4.85271
-86.2367 -21.3754 -21.2417 -7.634 -15.9326 4.79234
-85.8408 -5.02878 -22.0655 -1.66973 -19.9568 4.70322
-80.5151 -18.0784 -24.9791 -6.89554 -15.1411 4.8588
-76.3201 -9.78838 -23.9729 -6.38766 -14.3533 4.86011
